,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,70 likes,10 images,🔥11.11 FIRE SALE STARTS NOW 🔥 BNIB Fizik Bartape (Vento Solocush) 💯READY STOCK WITH FREE DELIVERY💯 Road bike/ Foldable Bike/ Hybrid Bike/ Gravel Bike,36.90,Brand new,Mailing · Meetup,4 days ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"🔥PROMOTION STARTS NOW 🔥

✨ DISCOUNTS AVAILABLE WITH MORE THAN ONE ITEM PURCHASED🌟

FREE DELIVERY! SAVE TIME , SAVE MONEY 💰 

Grab this BRAND NEW AUTHENTIC Fizik Vento Solocush Bartape to improve your ride!! 
Brand new in packaging!!
Selling cheap due to extra stock, grab yours today, while stocks last!

All colours available!!
White, Red, Black, Yellow, Green

Retails at $49.90, selling much cheaper here. 
Price: 
1 for $36.90
2 for $69.80

Package Content:
2 x Classic Touch Superlight Bar Tape 
2 x Strips Sticker included
2 x Fizik Plugs 

A professional bar tape made by solocush, 2,7 mm thick, tacky touch.  The Fizik Vento Solocush Tacky Bartape features a streamlined cushioned construction with ultimate control. The tacky finish provides a non-slip surface with a raised texture that performs in all whether conditions. The Vento is bred for racing and is ready to win.
FEATURES:
Vento are race bred tapes for ultimate control and reduced weight.
Solocush is Fizik’s most streamlined cushioned construction, a single-layer chunky platform to rest on during longer rides without compromise on weight.
Tacky finish aids a sticky nonslip surface with a raised texture for ultimate grip in every condition.
Thickness: 2.7mm,Length: 2350mm, weight: 34.3g

Other sellers selling cheaper but you can question their authenticity, GET YOUR MONEY’S WORTH💯

Information about seller:
- Official Authorised Carousell Business Corporate Merchant 
- Trusted retailer with over 700 reviews on Carousell 
- 8 years of experience in the bicycle industry, operating on multiple platforms 
- Supports National Athletes and works with local bike shops to make premium products affordable ",Y,Standard delivery Free,3 - 4 working days,Y,Bishan MRT Interchange (NS17/CC15),Bikes.galore,Joined 8 years ago,Very Responsive,Verified,1,1,1,4.9,862,https://www.carousell.sg/p/🔥11-11-fire-sale-starts-now-🔥-bnib-fizik-bartape-vento-solocush-💯ready-stock-with-free-delivery💯-road-bike-foldable-bike-hybrid-bike-gravel-bike-1129708841/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=215
11,5 likes,1 image,Canyon Endurace CF SL 8.0 XS,"3,500",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling off Canyon Endurace CF SL 8.0 

Condition: 8.0/10 - light paint chips and scratch on derailleur from a minor fall 

Specs:
Full Ultegra 2x11 drive train
Stock wheelset from DT Swiss
Fizik Aliante:00 carbon saddle 
Does not include pedals

Garmin Edge 530 + 300
Carbon Yeoleo wheelset + $700

RFS: quit cycling and getting a motorcycle. Will throw in saddle bag with all its contents as well. 

Pick up at Pasir Ris Grove, Livia. 

",N,NA,NA,Y,Livia,jeremiahheng,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,22,https://www.carousell.sg/p/canyon-endurace-cf-sl-8-0-1243123650/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8
12,14 likes,9 images,Canyon Ultimate CFR Size S - Titan Silver,"11,000 12,000",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2022 Canyon Ultimate CFR in size S. 

Full servicing done in Oct 2022 by Bicyclewrench (willing to throw in a free full service by the same trusted mechanic to the next owner of this bike).

Colour is like classy, champagne gold.
Ride is comfortable and smooth. Climbs really well.

Protected with RideWrap frame protection from day 1.

Integrated Handlebar - 400mm by 90mm
Full spacers

Groupset: Dura Ace 12 speed Di2 R9270 with power meter
Crank length: 172.5mm
Cranksize: 52/36T
Cassette: 11/30T

Seatpost: Schmolke TLO UD Carbon (0 offset)
Saddle: changed to Power Mirror (carbon rails)
Bartape: changed to ciclovation
Bottom Bracket: changed to BBinfinite

Wheelset: DT Swiss PRC 1100 Dicut Mon Chasseral (24mm depth; DT Swiss 180hub with SINC ceramic bearings)
**Note: last 2 pic are fitted with Princeton wheels (my main set of wheels) and is NOT included in the sale. 

Tyres: Schwalbe Pro One TT (clinchers setup)
Dura ace rotors (160mm front and rear)

Pedals not included.
More pics can be provided upon request.

Lowballers are automatically blocked.
Self collect at Anchorvale lane.

**Note: I have two bikes posted for sale but will only look to sell one of them. If the other bike is sold before this, will retain this bike.

Thanks. 





#Not Canyon Aeroad/ Sworks SL7/Pinarello Dogma",N,NA,NA,Y,38 Anchorvale LaneRivercove residences,yao10,Joined 8 years ago,Very Responsive,Verified,1,0,1,4.9,72,https://www.carousell.sg/p/canyon-ultimate-cfr-size-s-titan-silver-1231374309/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=355
13,3 likes,3 images,18 inches Bicycle x 2 Nos,140,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","18 inches bicycle for sale (02 Nos)
suitable for 5 to 10 years kids
very lightly used
First come first serve",N,NA,NA,Y,"Jurong West St 42 Blk 451Blk 208, old boonlay placeBlk550 jurong west st42",vino16feb,Joined 4 years ago,Very Responsive,Verified,1,0,1,4.3,20,https://www.carousell.sg/p/18-inches-bicycle-x-2-nos-1240823992/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=4OrARvwEYBu13cPH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1111
14,115 likes,4 images,Authentic Pinarello GAN RS Maglia Nera road bike roadbike bicycle ,"3,100",Lightly used,Meetup,5 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","FINAL MARK DOWN

Less than 1000km put into it over the last 2.5 years. Selling due to Low utilisation and moving house

Size 51.5
Authentic!!! 
Full Ultegra 6800 group set
Fulcrum Racing Zero wheelset with ceramic bearings
Condition 9/10

. Price reduced for fast deals. Serious buyers only and pricing is firm. ",N,NA,NA,Y,Hougang Parkview,nitsbitsnwits,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,465,https://www.carousell.sg/p/authentic-pinarello-gan-rs-maglia-nera-road-bike-roadbike-bicycle-1102908143/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=343
15,12 likes,6 images,Road Bike,"1,000 1,200",Lightly used,Meetup,3 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Frame:
Carbon monocoque hyper light
Fork:
Infinite one piece light carbon fork with 1/5 carbon steerer
Front Derailleur:
Shimano 105
Rear Derailleur:
Shimano 105, 11sp
Brake Levers:
Shimano 105
Shifters:
Shimano 105
Crankset:
FSA Gossamer Pro Compact 50/34t
Brakes:
Shimano
Cassette:
Shimano 105 11/28t
Handlebar:
Pro PLT Dropbar 42cm(brand new)
Grips:
Lizard skin
Stem:
Pro vibe 7s 100mm(brand new)
Bottle cage:
2 elite custom race (brand new)
Rims/Wheel Set:
Shimano RS010
Tyres:
Continental Ultra sport II 700x23c, folding
Saddle:
San Marco Era Start with manganese rail
Seat Post:
Thomson Elite
Headset:
FSA No.42/SCB
Chain:
FSA Team Issue
About this bike:
The Pulse is borned to be light…this bike is a serial KOM record killer!
LOW MILEAGE 
Tiny scratch at chain stay. PM ME FOR MORE PICTURES
Infinite Pulse Pro Road Bike Size M",N,NA,NA,Y,Bedok North Road,ronthedong,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,91,https://www.carousell.sg/p/road-bike-1227580335/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=CBPrbDlEVepG683U&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1936
17,9 likes,7 images,Polygon Hybrid Bicycle,500,Lightly used,Mailing,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Lightly used bike
Was often put at balcony, often cleaned and always put in shady area
Rode less than 15 times
Bought for $1200, accessories also cost $50 plus extra
Now selling at a low cost to make space for my balcony
No air on wheels, need to pump
Brake fluids recently bleed
Comes with additional pouches as shown in picture 
Price not included bicycle stand
Bicycle stand already purchase by other buyer 
Welcome to have a look at my place at Sengkang 797460",Y,Standard delivery S$30,3 - 4 working days,N,NA,starfish100,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,227,https://www.carousell.sg/p/polygon-hybrid-bicycle-1241819646/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=711
18,34 likes,1 image,Canyon Endurace 2021 CF SL 7 R7000 Carbon Wheelset Full Road Bike,"1,800",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","CANYON ENDURACE CF SL 7 2021 R7000 CARBON WHEELS FULL BIKE

•Canyon Endurace CF SL 7 2021 Full Carbon Frameset UCI Approved
•Shimano R7000 105 Full Groupset 11speed with Ltwoo Ceramic Carbon OSPW
•Carbon Wheelset with Continental GP5000 Tyres
•Canyon Cockpit with New Ciclovation Bartape

Like new condition with zero issues
Light & fast, sexy all-black stealth build

Please contact @83315987 if you are interest~!!
",N,NA,NA,Y,Medicus Clinic Jurong West St 42,cl24zy,Joined 3 years ago,Very Responsive,Verified,1,0,1,5.0,19,https://www.carousell.sg/p/canyon-endurace-2021-cf-sl-7-r7000-carbon-wheelset-full-road-bike-1242977229/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bzxMEarcJgExmMEC&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=114
19,78 likes,6 images,Java veloce Road bike S,355,Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Great condition bike
Wheel size 700Cc
Frame size S (46cm)
Sora group set 9 speed gear
Mechanical disc brake ",N,NA,NA,Y,Woodlands South MRT Station (TE3 ),Lovesingapore10,Joined 9 months ago,Very Responsive,Verified,1,0,1,5.0,11,https://www.carousell.sg/p/java-veloce-road-bike-s-1238240034/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=2_aptq-6WHkTwHcY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1996
20,9 likes,5 images,Road Bike for Sale,400,Lightly used,Meetup,5 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Bike is always keep inside house. I have 3 bicycle at home...letting go 1 bicycle. Bicycle no repair required. 
Ready to cycle..",N,NA,NA,Y,Blk 196B Punggol Field,Simply2907,Joined 8 years ago,Mostly Responsive,Verified,1,1,1,5.0,29,https://www.carousell.sg/p/road-bike-for-sale-1242560208/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=RhKUZucfkwyXqkCD&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=319
21,79 likes,10 images,Handmade Swiss Vintage Steel Road Bike,"1,000 1,199",Lightly used,Meetup,2 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","YOUR FINAL CHANCE TO BRING THIS BEAUTIFUL HANDMADE BIKE HOME.

This is a very unique vintage steel road bike HANDMADE in Swiss. It has a beautiful purple blue color frame and flawless chrome fork. No visible rust.

Built in 1978. It has been hanging on showroom wall and seldom ridden since 1983. Regularly service and was last service in early 2022. Tiptop condition. Very smooth. Collector's bike.

Groupset is full Shimano 600 SIS. Other quality components include Mavic rims, stainless steel spokes, Zaffiro tires, Look paddles, Selle Italia saddle, Mavic stem & handlebar, racing pouch, etc. Weighs about 10kg. Size is about 54cm.

Welcome to come down to see this bike. Please also see my other quality listings.",N,NA,NA,Y,Playground Poh Huat Road,samchongsoonlian,Joined 5 years ago,Very Responsive,Verified,1,0,1,5.0,93,https://www.carousell.sg/p/handmade-swiss-vintage-steel-road-bike-1213867723/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=e8UBo6k3iv7O7SH-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1298
